table_name,aoi_id,id,vendor_id,entity_id,vendor,platform,pixel_size_x,pixel_size_y,date,publish_date,geometry,sea_state_qual,sea_state_quant,shareable
EE,6,10400100470C8300,19FEB25160016-S2AS_R2C2-504979755010_01_P010,WV320190225160016OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.534489 41.790732, -70.534489 41.814956, -70.455533 41.814956, -70.455533 41.790732, -70.534489 41.790732))",,,
EE,6,10400100470C8300,19FEB25160017-S2AS_R1C2-504979755010_01_P011,WV320190225160017OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.535452 41.874037, -70.535452 41.94881, -70.455879 41.94881, -70.455879 41.874037, -70.535452 41.874037))",,,
EE,6,10400100470C8300,19FEB25160017-S2AS_R2C2-504979755010_01_P011,WV320190225160017OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.533685 41.85264, -70.533685 41.875039, -70.456237 41.875039, -70.456237 41.85264, -70.533685 41.85264))",,,
EE,6,10400100470C8300,19FEB25160018-S2AS_R1C2-504979755010_01_P012,WV320190225160018OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.534675 41.933166, -70.534675 42.00792, -70.456463 42.00792, -70.456463 41.933166, -70.534675 41.933166))",,,
EE,6,10400100470C8300,19FEB25160018-S2AS_R2C2-504979755010_01_P012,WV320190225160018OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.532906 41.913439, -70.532906 41.93415, -70.456913 41.93415, -70.456913 41.913439, -70.532906 41.913439))",,,
EE,6,10400100470C8300,19FEB25160019-S2AS_R1C2-504979755010_01_P013,WV320190225160019OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.533926 41.991411, -70.533926 42.066148, -70.457036 42.066148, -70.457036 41.991411, -70.533926 41.991411))",,,
EE,6,10400100470C8300,19FEB25160019-S2AS_R2C2-504979755010_01_P013,WV320190225160019OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.532154 41.973233, -70.532154 41.992378, -70.457538 41.992378, -70.457538 41.973233, -70.532154 41.973233))",,,
EE,6,10400100470C8300,19FEB25160020-S2AS_R1C2-504979755010_01_P014,WV320190225160020OR01C0201,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.533204 42.048773, -70.533204 42.123493, -70.457566 42.123493, -70.457566 42.048773, -70.533204 42.048773))",,,
EE,6,10400100470C8300,19FEB25160020-S2AS_R1C2-504979755010_01_P015,WV320190225160020OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.532073 42.089973, -70.532073 42.160864, -70.457995 42.160864, -70.457995 42.089973, -70.532073 42.089973))",,,
EE,6,10400100470C8300,19FEB25160020-S2AS_R2C2-504979755010_01_P014,WV320190225160020OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.531429 42.032058, -70.531429 42.049723, -70.45815 42.049723, -70.45815 42.032058, -70.531429 42.032058))",,,
EE,6,10400100476C3000,19FEB25160125-S2AS_R1C2-504979755020_01_P009,WV320190225160125OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-02-25,2021-02-15,"POLYGON((-70.531497 41.715645, -70.531497 41.790337, -70.458265 41.790337, -70.458265 41.715645, -70.531497 41.715645))",,,
