,catalog_id
0,10400100959B5400
1,1040010093625500
2,1040010093A5AA00
3,10400100918AEE00
4,1040010091057E00
5,1040010093847B00
6,1040010093467000
7,1040010092BD6D00
8,10400100915D6100
9,10400100928B3000
10,104001009037FF00
11,104001008D113000
12,104001008C471A00
13,104001009076F600
14,104001008C0F7C00
15,104001008B789100
16,104001008DC4AA00
17,104001008D203C00
18,104001008C164D00
19,104001008C7FC000
20,104001008D485100
21,104001008C7CFD00
22,104001008B626E00
23,104001008BCDCA00
24,104001008CCF7000
25,104001008CADA700
26,104001008C6DBA00
27,1040010089D74F00
28,104001008B6E3400
29,104001008CBBAD00
30,104001008C1CE000
31,104001008B8CE500
32,104001008C300F00
33,104001008B630800
34,1040010089A44800
35,1040010089CFE300
36,1040010088A1D600
37,1040010088B6F900
38,104001008998E300
39,1040010087416200
40,10400100878A6400
41,104001008A510100
42,10400100877FA000
43,1040010086107C00
44,1040010088738E00
45,1040010088500E00
46,104001008764D600
47,1040010087C80800
48,1040010086298400
49,10400100864E7000
50,1040010085D2FD00
51,1040010083AF0F00
52,104001008501D000
53,1040010086BA2B00
54,1040010084CC3900
55,10400100859E2300
56,10400100837D2A00
57,1040010083C22300
58,1040010082744A00
59,1040010084960300
60,104001008360A400
61,104001008242DA00
62,1040010083539700
63,1040010078BEC800
64,1040010075249700
65,104001007632A100
66,10400100745B4300
67,104A0100745B4300
68,1040010074952C00
69,104A010074952C00
70,104001006700B500
71,1040010068C83700
72,1040010069D83800
73,104001006A3D0E00
74,1040010068807F00
75,10400100692A6A00
76,1040010068B2B900
77,1040010069CEBE00
78,1040010069A92B00
79,104001006892A200
80,1040010068651500
81,1040010068262900
82,1040010069828800
83,1040010067015600
84,1040010067D36B00
85,10400100674B2100
86,10400100683A1800
87,10400100653F3D00
88,104001006773EA00
89,10400100687EDC00
90,1040010065796C00
91,1040010067CC5D00
92,1040010066A1F000
93,1040010066A36E00
94,104001006166E700
95,1040010063561700
96,10400100604B7800
97,1040010060086800
98,104001005F7E5300
99,104001005C2C4E00
100,104001005B05B600
101,104001005D3BDC00
102,104001005C41D600
103,10400100585EFA00
104,104001005C159600
105,104001005B61D900
106,104001005B16C000
107,10400100539C1800
108,1040010052606800
109,104001005136EA00
110,1040010051753000
111,10400100519C5A00
112,104001004F4F5B00
113,104001004AB60600
114,104001004A50E800
115,10400100494E4E00
116,104001004933C100
117,104001004A8CFC00
118,10400100470C8300
119,10400100476C3000
120,104001003D6A7700
121,104A01003D6A7700
122,10400100989E0B00
123,1040010097B2D400
124,10400100991E0D00
125,104001009A681F00
126,104001009B82E600
127,1040010098303A00
128,104001009931E000
129,104001009A931900
